Gene	Actionability	Age
APC	HA-CSG	Age<30
ATM	SA-CSG	All
BAP1	SA-CSG	All
BARD1	SA-CSG	All
BRCA1	MA-CSG	All
BRCA2	MA-CSG	All
BRIP1	HA-CSG	All
CDKN2A	SA-CSG	Age<30
CHEK2	SA-CSG	All
DICER1	SA-CSG	All
FH	SA-CSG	All
FLCN	SA-CSG	All
MLH1	MA-CSG	All
MSH2	MA-CSG	All
MSH6	MA-CSG	All
MUTYH	HA-CSG	All
NF1	SA-CSG	All
PALB2	MA-CSG	All
PMS2	HA-CSG	All
POLD1	SA-CSG	All
POLE	SA-CSG	All
PTCH1	SA-CSG	All
PTEN	HA-CSG	Age<30
RAD51C	HA-CSG	All
RAD51D	HA-CSG	All
RB1	HA-CSG	Age<30
RET	MA-CSG	All
SDHA	SA-CSG	All
SDHAF2	HA-CSG	All
SDHB	HA-CSG	All
SDHC	HA-CSG	All
SDHD	HA-CSG	All
SMAD3	SA-CSG	All
SMARCA4	SA-CSG	Age<30
SMARCB1	SA-CSG	All
SUFU	SA-CSG	All
TMEM127	HA-CSG	All
TP53	HA-CSG	Age<30
TSC2	HA-CSG	All
VHL	HA-CSG	All
